,Institute Id,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank,Field
129,IR-D-C-13844,Armed Force Medical College,72.99,24.10,81.66,70.29,51.90,Pune,Maharashtra,57.68,30,Medical
130,IR-D-U-0687,All India Institute of Medical Sciences Bhopal,80.09,30.27,77.01,68.77,22.73,Bhopal,Madhya Pradesh,57.66,31,Medical
131,IR-D-I-1409,University College of Medical Sciences,76.66,37.29,76.39,60.72,21.13,Delhi,Delhi,57.65,32,Medical
132,IR-D-C-7251,"Kasturba Medical College, Mangalore",76.38,29.45,75.83,73.02,29.10,Mangaluru,Karnataka,57.12,33,Medical
133,IR-D-U-0106,Institute of Liver and Biliary Sciences,85.00,38.18,57.62,57.58,26.61,New Delhi,Delhi,56.89,34,Medical
134,IR-D-C-29442,Govt. Medical College & Hospital,79.82,30.06,76.95,59.94,21.77,Chandigarh,Chandigarh,56.53,35,Medical
135,IR-D-U-0168,Maharishi Markandeshwar (Deemed to be University),74.83,37.12,75.69,69.68,8.29,Ambala,Haryana,56.53,35,Medical
136,IR-D-U-0107,Jamia Hamdard,70.74,43.86,69.25,60.86,12.09,New Delhi,Delhi,55.53,37,Medical
137,IR-D-U-0690,All India Institute of Medical Sciences Raipur,83.81,24.95,67.28,71.07,20.80,Raipur,Chhattisgarh,55.27,38,Medical
138,IR-D-C-35009,"JSS Medical College, Mysore",77.17,19.50,78.58,71.58,31.19,Mysuru,Karnataka,55.00,39,Medical
139,IR-D-C-29255,Dayanand Medical College,85.61,19.78,78.26,55.15,17.03,Ludhiana,Punjab,54.48,40,Medical
140,IR-D-C-45515,PSG Institute of Medical Sciences and Research,77.95,15.71,74.17,60.58,41.34,Coimbatore,Tamil Nadu,53.11,41,Medical
141,IR-D-C-48124,"Government Medical College, Thiruvananthapuram",72.49,16.22,89.15,47.80,30.68,Thiruvananthapuram,Kerala,52.30,42,Medical
142,IR-D-N-17,Sawai Man Singh Medical College,75.64,16.32,89.63,55.16,8.73,Jaipur,Rajasthan,51.91,43,Medical
143,IR-D-C-16424,Medical College,68.19,19.13,84.93,52.69,34.15,Kolkata,West Bengal,51.87,44,Medical
144,IR-D-C-5838,Gujarat Cancer and Research Institute,88.08,12.82,77.07,56.75,4.11,Ahmadabad,Gujarat,51.77,45,Medical
145,IR-D-C-40345,M. S. Ramaiah Medical College,79.40,12.41,79.02,58.54,25.74,Bengaluru,Karnataka,51.76,46,Medical
146,IR-D-C-47762,Mahatma Gandhi Medical College and Research Institute,70.42,19.41,74.07,82.24,10.45,Puducherry,Pondicherry,51.02,47,Medical
147,IR-D-C-30588,Osmania Medical College,77.44,7.58,87.37,55.59,24.56,HYDERABAD ,Telangana,50.99,48,Medical
148,IR-D-C-29209,Christian Medical College,77.33,12.47,74.62,68.89,22.10,Ludhiana,Punjab,50.96,49,Medical
149,IR-D-C-30767,Pandit Bhagwat Dayal Sharma University of Health Sciences,77.04,16.79,77.72,53.17,17.03,Rohtak,Haryana,50.71,50,Medical
150,IR-M-S-8890,Indian Institute of Management Ahmedabad,91.88,63.89,98.71,71.72,96.81,Ahmedabad,Gujarat,83.32,1,Management
151,IR-M-S-8903,Indian Institute of Management Bangalore,90.08,56.71,98.41,74.54,100.00,Bengaluru,Karnataka,81.16,2,Management
152,IR-M-S-8909,Indian Institute of Management Kozhikode,86.99,58.96,94.37,77.10,75.30,Kozhikode,Kerala,77.90,3,Management
153,IR-M-I-1074,Indian Institute of Technology Delhi,72.21,78.39,89.51,67.37,64.25,New Delhi,Delhi,76.25,4,Management
154,IR-M-S-8972,Indian Institute of Management Calcutta,84.12,48.09,99.09,70.46,85.29,Kolkata,West Bengal,75.07,5,Management
155,IR-M-S-8931,Indian Institute of Management Mumbai,80.81,59.14,99.41,75.86,52.82,Mumbai,Maharashtra,74.73,6,Management
156,IR-M-S-8959,Indian Institute of Management Lucknow,84.25,49.09,96.59,71.17,79.81,Lucknow,Uttar Pradesh,74.43,7,Management
157,IR-M-S-8918,Indian Institute of Management Indore,84.08,55.28,93.49,72.38,57.93,Indore,Madhya Pradesh,73.53,8,Management
158,IR-M-S-132,XLRI - Xavier School of Management,85.49,39.79,97.92,64.57,45.02,Jamshedpur,Jharkhand,68.13,9,Management
159,IR-M-U-0306,Indian Institute of Technology Bombay,78.30,61.64,79.25,58.83,34.50,Mumbai,Maharashtra,67.16,10,Management
160,IR-M-I-1170,Management Development Institute,75.87,50.74,95.24,71.05,27.07,Gurugram,Haryana,66.85,11,Management
161,IR-M-S-8895,Indian Institute of Management Rohtak,79.69,45.01,88.90,75.98,37.00,Rohtak,Haryana,66.49,12,Management
162,IR-M-C-19343,Symbiosis Institute of Business Management,75.51,42.85,94.27,66.50,41.21,Pune,Maharashtra,65.13,13,Management
163,IR-M-S-8868,Indian Institute of Management Raipur,78.31,41.28,90.68,80.55,23.25,Raipur,Chhattisgarh,64.40,14,Management
164,IR-M-U-0102,Indian Institute of Foreign Trade,80.36,32.80,87.48,66.49,42.58,New Delhi,Delhi,62.36,15,Management
165,IR-M-U-0456,Indian Institute of Technology Madras,70.39,47.93,75.10,60.43,51.74,Chennai,Tamil Nadu,61.73,16,Management
166,IR-M-S-8904,Indian Institute of Management Ranchi,70.89,39.65,89.45,71.42,30.82,Ranchi,Jharkhand,61.27,17,Management
167,IR-M-U-0560,Indian Institute of Technology Roorkee,68.08,59.00,71.09,62.16,26.50,Roorkee,Uttarakhand,61.21,18,Management
168,IR-M-U-0573,Indian Institute of Technology Kharagpur,50.10,63.68,87.88,55.17,37.88,Kharagpur,West Bengal,61.03,19,Management
169,IR-M-I-1044,S. P. Jain Institute of Management and Research,78.86,26.60,98.65,68.90,27.07,Mumbai,Maharashtra,60.97,20,Management
170,IR-M-N-10,SVKM`s Narsee Monjee Institute of Management Studies ,78.42,29.96,92.39,76.71,22.95,Mumbai,Maharashtra,60.96,21,Management
171,IR-M-S-8942,Indian Institute of Management Udaipur,79.21,33.95,88.69,72.05,20.39,Udaipur,Rajasthan,60.93,22,Management
172,IR-M-S-8967,Indian Institute of Management Kashipur,67.95,40.39,89.06,74.47,30.56,Kashipur,Uttarakhand,60.82,23,Management
173,IR-M-S-8937,Indian Institute of Management Shillong,74.68,28.33,94.96,74.09,31.83,Shillong,Meghalaya,60.49,24,Management
174,IR-M-U-0108,Jamia Millia Islamia,65.45,48.39,81.46,83.65,15.14,New Delhi,Delhi,60.32,25,Management
175,IR-M-U-1007,Indian Institute of Management Visakhapatnam,80.81,22.51,86.10,70.53,39.37,Visakhapatnam,Andhra Pradesh,59.20,26,Management
176,IR-M-S-8948,Indian Institute of Management Tiruchirappalli,60.97,29.09,87.47,69.74,61.89,Tiruchirappalli,Tamil Nadu,57.67,27,Management
177,IR-M-U-0436,Amrita Vishwa Vidyapeetham,64.11,41.40,73.51,75.50,34.97,Coimbatore,Tamil Nadu,57.40,28,Management
178,IR-M-U-0497,Amity University,70.39,54.11,58.85,67.49,13.62,Gautam Budh Nagar,Uttar Pradesh,57.23,29,Management
179,IR-M-I-1075,Indian Institute of Technology Kanpur,66.90,44.97,77.90,48.81,32.08,Kanpur,Uttar Pradesh,57.23,29,Management
180,IR-M-S-15962,Indian Institute of Management Nagpur,71.57,27.17,86.55,70.33,29.78,Nagpur,Maharashtra,56.94,31,Management
181,IR-M-S-14875,MICA,70.52,38.08,84.36,68.13,3.60,Ahmedabad,Gujarat,56.62,32,Management
182,IR-M-U-1006,Indian Institute of Management Bodh Gaya,75.08,25.80,84.73,69.59,21.05,Gaya,Bihar,56.27,33,Management
183,IR-M-N-16,Great Lakes Institute of Management,78.30,22.05,81.85,73.36,23.25,Chennai,Tamil Nadu,56.15,34,Management
184,IR-M-S-394,Institute of Management Technology,76.46,32.51,80.64,63.76,8.25,Ghaziabad,Uttar Pradesh,56.03,35,Management
185,IR-M-U-0747,Chandigarh University,75.30,30.03,70.22,80.58,20.06,Mohali,Punjab,55.71,36,Management
186,IR-M-S-87,Goa Institute of Management,75.11,25.94,84.41,71.65,13.23,Sanquelim,Goa,55.67,37,Management
187,IR-M-U-0379,Lovely Professional University,73.49,38.97,62.87,75.19,16.61,Phagwara,Punjab,55.49,38,Management
188,IR-M-U-0012,"ICFAI Foundation for Higher Education, Hyderabad",75.59,26.77,75.96,76.06,18.02,Hyderabad,Telangana,55.31,39,Management
189,IR-M-I-1064,International Management Institute,72.25,26.29,87.23,69.58,9.12,New Delhi,Delhi,54.89,40,Management
190,IR-M-U-0564,UPES,73.29,32.94,67.39,65.68,28.99,Dehradun,Uttarakhand,54.82,41,Management
191,IR-M-U-1004,"Indian Institute of Management Jammu (IIMJ)
",73.73,16.68,86.87,73.31,28.18,Jammu,Jammu and Kashmir,54.64,42,Management
192,IR-M-U-0715,XIM University,73.86,21.36,91.24,55.04,21.69,Bhubaneswar,Odisha,54.49,43,Management
193,IR-M-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),66.13,42.28,63.22,72.33,8.69,Patiala,Punjab,53.26,44,Management
194,IR-M-S-3283,Jaipuria Institute of Management,67.35,28.22,76.47,67.15,25.35,Noida,Uttar Pradesh,53.23,45,Management
195,IR-M-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,70.67,41.31,55.53,63.79,16.96,Dhanbad,Jharkhand,52.78,46,Management
196,IR-M-S-16881,Indian Institute of Management Amritsar,67.83,18.63,87.86,67.99,22.63,Amritsar,Punjab,52.57,47,Management
197,IR-M-U-0500,Banaras Hindu University,62.18,29.50,81.82,56.41,27.63,Varanasi,Uttar Pradesh,52.26,48,Management
198,IR-M-S-92,Institute of Rural Management Anand (IRMA),65.29,22.36,87.73,64.13,12.84,Anand,Gujarat,51.54,49,Management
199,IR-M-S-6,Indian Institute of Management Sambalpur,64.06,18.02,81.32,75.56,30.31,Sambalpur,Odisha,51.47,50,Management
200,IR-M-U-0467,National Institute of Technology Tiruchirappalli,54.19,39.84,71.84,61.66,26.50,Tiruchirappalli,Tamil Nadu,51.40,51,Management
201,IR-M-S-17295,Great Lakes Institute of Management,76.53,18.83,72.51,79.25,3.10,Gurgaon,Haryana,51.35,52,Management
